ID,#
67358127d2ddef8a950df734,2
6725282262a7213ca208c9df,2
63368a7379eb43fa2105d971,1.98
63614a46bd1e8547e0a8b8ba,0
673350bbb92b09a7fbbb2f3f,0.0
65957fe9e5da382be7bf68df,2
67354657253f396591767b63,1.96
6646448ac83b162ea65a4fff,1.96
66fc12c9f1dfb65972597a3f,0
67357e87a8bbd1bf5737b12f,0
671c1279b3833d369b3a5531,2
67337ca58aad7d9595168322,2.0
55d3586fda14d7000e9531d9,2
66f2afde336a7132150eabe6,0
63ed36862c7f66f95ab44d1b,2
60871d664054c52f5b2741ae,0
66c75aaf68881d4b4e1248b6,0
6732fe93f2e4c4706cc58ec0,0
5e2610aad15fdb000c054503,2
65a2bed50652b97162516095,1.82
6413c7853eba2b2215197ff4,0
666096aa3e8745239c08f8b1,2.0
65f835fa888514d736f32ece,2
668a0371be5eedd5c545e1ff,2.0
672b324dd1f0c2e7cb93ef87,0
672298d38faba7cd4fdf3679,0
66e8ab881b2f3a27ce5ffb32,2
6637fc287f16270ca8025b20,2.0
5fd4814a3f26f11eb67b686c,2
672872eabd3885faa5ee4260,2
6647b89b36a2cd9d343fe7c1,2.0
62fd76d3f0824c29d4b1e6bd,0
5feeeea3341f421a1fd59597,0
60fdca1a87839971dfef0270,2
663d0e210e239265b07238f1,0
6604618d2ee080f8246f2f61,2
6674e27d7068f7b381b54c73,2
670d7afbadf6cefd9a2f4e72,2
663e638df48d765486d59a0f,0
6643c8d8f6c2189fd555f249,0
6683fdcdf7e5580c12bb591c,0
662949dcb3c06ccdd7352db5,0
663a71833186f44039c05a68,2
579181fa913c71000197531b,0
670aae8ee861252b0528662d,0
6667897db5b8a719d60f6a78,1.94
5ae3223938df950001455e66,2
5e89533c4d3d675e800bfc7c,10
56270b0dddff3c0005bcd882,2
65522f42982b5a1126a27834,10
65d5079a533c306b850e15fa,0
653e66aefcd12ed6a4565fa6,0
661fc8bb0644ba960f0e3b65,0
5bf628eb7ea49f0001baa974,2.0
62b14f89e9222d3aab48489b,0
65c63f9b7a891fff8a4c45a2,0
65d2132e0d4bcd2c8f30dada,2.0
6630ddcd4f10b79b19d77585,0
610786681f59e722c0a8b371,2.0
583661f545d1d700013ebb53,9
5a282206b279aa0001b0e002,0
65dcb8de27f5cb588f25952f,0
65cb861421aeac903f98037f,2
6021d9655d5b332710d8d984,2
666312108dab14d3494560c2,1.94
66253a71e3f7bc1aa48ddc4e,2
65e0a44487246a12016ff05b,0
664bc76dd28ece3da4f96158,0
640156a5f2395bf80ca0c451,2
5d58d7d6280de7001aa7952a,0
60fe17ee7caf4703b6754ab2,2
668ac2114bd6ee74ae22e09b,2
656dc7fd90a5c4aea3678692,1.96
5cbde499f015c800186299f2,2
5d60bd4ec253680017cf4c0f,2
664c96f5fdfc411c8d0cd939,2
5a47b7be2f91ec0001dcbfee,2.0
665f5e237e47262ff05820fc,2.0
5e1553fd1e2e58b6448d8dcc,0
668aa7c12a88af987360e490,0.8
6575ccea94910ddce0170a18,2
601b9077694f034f0092dd8f,2.0
67359134e8f75b0c81fb8c7f,2
66a7036786f60251fc454bdb,1.8
66045a2983025b44add4864b,1.6
665dd4c4f25dc25f070bd22b,2
673170c4b540ee9075d27d4a,0
668959a7ecf71cb66cf9768a,0
6543ba9056ed19f45e686e85,1.98
66298f03416104b5b53f56b5,0
64135f3a5f83c8b43e569213,2.0
665a9b5ac6a631387e988bc1,1.8
65ff3a4e1892ec3f6991a29e,0
66bf8fef98b165333e46f4eb,1.8
663e42e7e16f08b87c46f9a6,2
652c6b8265aebce5986591b2,1.92
65bf9aeb592e888df327d648,2
5fd8f6060b671a3395afde6c,0
63d000d62878aa92b833c5fc,2.0
6632a3b5ee60e7692fd50a7a,0
5e86c320939b3030601f7fcb,0
65cb9a512efd76eb9e920010,0
62e19208352cd518d7b2f085,2
57749a1f760c1f0001ca7679,0
61313fad6454dab291dc1256,0
638e39edc03272bc8071cbb6,2
65240f7dfda71bbdb9a04f0c,2
5b0fa626bd9c310001568d6c,2.0
6725801d4e269454c407aa86,1.98
6657584ca6e3645f4a99e753,0
6159fe7811a7e1b94401c33f,10
662e50cf3365a5b0f91e89e5,2.0
65330c348f7089b3bd87236b,0
666203105e0c216230d31016,0
6647b8648a67a4ef6585458a,10
671a5bbb63850300396b8552,0
5dc474fd45b8f933f16d6241,2
655fa42dc06a6e0974ee183b,0
672f19e70cc94bcb0619f6ca,1.8
665f7bbebb044e364be28582,0
665743d0e52bc5d24caee2a2,2
6434ffef48955a4096db0ea0,1.4
65ce1b0bf3ab63f4f81cdd94,2.0
60fdc40f41e8e10a0ddabb22,0
605b8cf6c07b6842b5cab429,2
626865bc5ebc6a94aa84fce2,2.0
66034feca6404e75d1908b12,0
6728ac4e1f0ac5ccaa3d7675,0
6606f581a55dc7199a7cf7ab,0
671f79baac356f9efe623cef,0
6696ce2085087c25d102f853,2
5eb44aa8de8a2a291bd522df,0
6614b9cbe0e2912e3ffd0705,2
59f224ce40333e00017edfe8,2
672e62ea8e95b429516418ca,2
637ee3e42ee7996a07233f21,2
583f080a164cd30001c347ea,10
66293dfe581e19f0c8b56268,2
66cd2c8c84efe6e84fa88f1e,10
6711b26adcd255be11e409cd,2.0
6733c8ed72d14762aea01247,0
60fd0594288ddce37ec599d1,2
5f35ae3a8f69605c71446dce,2.0
6715436581def11c20ce3786,0
5765c0fcf2e23200017ded5e,1.6
666dc3db9ac2e5ee4b2c3d6c,1.98
66f5face3afaaf7cf64980db,1.9
66296df130c9444696571bc7,0
5a6b7f02e6cc4a0001b6a591,1.98
66edc42d538ac1d18fa2d1dd,2.0
6303fb5b692c378ba1d010f9,10
62e07b7bce4301b22b769df8,0
66bba307f316e9d93bdd0039,2.0
5e63e24eaf3bd51660031dbe,2.0
5dedf0483711364928753ecd,2.0
5c4e3977c0783c00016936f9,2
5d7472ad3bc4020015f3bb56,0
57c137bf5b8c510001af5981,1.96
65f00615cafbc1008642ff08,2
6689a12457342b4e43fe5af3,10
5e9389d87d6dc1078fe0ebee,1.8
6637a175f1ecda0cc7ffc8c9,0
61692a71630be6d801e55db0,2.0
5c989ea4c7f75b0001677fa8,0
663ce4e0481cec08d00ab105,0
5bcc26ba4f22df00010f166d,2.0
6728ac4e1f0ac5ccaa3d7675,0
67158a52bdda9ea30d07de25,2
663afb4c74805516d7983f27,0
658289aeaf946c0306a5c083,2
66fb614bb2ee41889ae13f1c,0
671baf56f9e7ffc0d41d6f1a,2.0
62f9c9926b5d15714845f331,1.8
6728ecb8f622c6f2a2eaa6fc,1.98
664e3a724e9031ecde986655,0
6612f75ce40b8b512658beaf,0
60bae1ebe45be85442acce84,0
6132cc931d18eb3ce734accf,2
5ec9112305ac273ed882f22a,8
65dd00763076d70c85c24b1b,2.0
6696cb900298e5e424ddbb00,1.8
611c3a95571912992fae32cf,0
66b81adbc27d50653ded3da4,2.0
649609322cee8b311a1c3f0f,1.98
66aabe2a82ed5061379fa052,2.0
66fd131b4ece3a7928716865,0
65d76ebb8291ac6b90e131a7,2
667e3c908dfe54c0973bbe34,0
66e3a5d19b4dd663d2c8b9ad,2
6681a790567ed4edc86ca4a4,0
666e2123f31347ddef69f7a1,0
6734a50bb2f6e5f5ab60c014,2
5fc6e3a0040c3f0e7cb45c8a,0
6632a45ac854ff55d9eb87e4,2
5ea96f2dbd3d10051fc94b30,2
62f975cbc3507ecf77180d00,4
65f0e572d1ca00e646860bff,2.0
614de6895ac2892842f52ec7,2.0
61177ea521a68858654a2cdf,2.0
664fa131c7b117a8b479e5f3,2
5f1bf8c6fe7ca34249b7c334,2.0
5cc8039e3ef93000171c96b8,2
65cb9a592b3565cba17bc37c,1.94
67104c7deff954cb22438402,2
60d8c6bc9686529cdc824a49,1.98
