ID,#
5f6388bf9ae5ad07ba1a0173,0
6643cde3471e61890ff943ae,0
66451a42bf464c0c1e0f8ac3,2.0
5c10724111fe9a00013cd815,0
62c0ccde4bd16c7f96a2959f,1.98
580145ebf35f130001c36157,0
66327883ca4a6f78c437185a,2
5d60bd4ec253680017cf4c0f,2
6650b2234eceb07b4da49d01,2
663a6aef1ae5940238329fef,2
66cc876397392994acff09da,2
5f58ceb73a55aa065f014fb4,1.98
61149e53e2c2602cec8838ad,2
63655d5226651ebb9318f938,0
60ff27e7e1030af99a1ecc26,0
65fc3bb9a487f2029dba34fd,2
5ee00ba7431cdf357dca02ab,1.98
66816e03932eb7cb591a933b,1.92
65f4e1f8008a169d7ecde720,0
664423f62228d52a75ce239c,1.96
6554e277eae44db0a5eb3527,0
5e04f438afb8b0f5afa75f08,2
66550db52021ca4ab715cf22,0
63d5aafaa65a001c36a652b2,0
66e7b62d206ef807782af7e4,0
5dd3eb9a0f8d513d6c589024,0
636147ee17c4df2ebf189cf5,2
6631149a03a3ef85c0338990,2.0
55678ac4fdf99b02081d82c2,2
6577fb64d29f73c7b3a13539,0
661ecd8cc417f5af7913161c,0
667db8476ed0a49a24579e01,2
616da8d2898bf561b8c61a05,0
662a7bad22f9c62510da0348,0
664252d4a599b06b914bfcd8,2
5ef3832ddd7d5a0f19b24f20,0
6616eff822e8996e023e5b74,0
663bc31529719b8501c52820,2
6148ea50509c9ce6c1f023c0,1.9
5cfe3ec7591d170019447590,2
5b2a7c5e28c8850001e7f0e1,1.96
64135a1754a2b94d653f9c79,0
6077a808b8d8534a901e5d78,0
66765cefaf50558b476e42ad,0
6316972ef4d8ad8f45a16d7f,0
66d88824286f37aa2f0eae20,0
669424e6b661e0a098ec66a4,0
56a3e69d582971000b7b0f4a,2
5fc803709e587e1295172443,0
