Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Ethnicity,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
66f586985bdcb687f79da601,6290e064d34ecad7706ccb93,APPROVED,Not Applicable,2024-09-26T16:06:53.721000Z,2024-09-26T16:12:05.349000Z,2024-09-26T16:12:10.385000Z,2024-09-26T16:12:07.160775Z,312.0,C1BTHULB,736,White,High school diploma/A-levels,30,Male,White,United States,United States,United States,English,No,Full-Time
66f586b3d3ec83685eaa5f33,61644b17ec9f97f7485d5624,APPROVED,Not Applicable,2024-09-26T16:07:22.400000Z,2024-09-26T16:27:28.785000Z,2024-09-26T16:29:50.189000Z,2024-09-26T16:29:59.019634Z,1207.0,C1BTHULB,2567,Black/African American,Graduate degree (MA/MSc/MPhil/other),29,Female,Black,United States,United States,United States,English,No,Part-Time
66f586c27b2719b48a75ace0,66549179a1cb5573cc49c790,APPROVED,Not Applicable,2024-09-26T16:07:39.140000Z,2024-09-26T16:16:35.390000Z,2024-09-26T16:20:11.723000Z,2024-09-26T16:17:58.590566Z,537.0,C1BTHULB,269,White,Graduate degree (MA/MSc/MPhil/other),45,Female,White,United States,United States,United States,English,No,Part-Time
66f587225bdcb687f79da618,63386db00f7528f25101593c,APPROVED,Not Applicable,2024-09-26T16:09:12.552000Z,2024-09-26T16:19:00.073000Z,2024-09-26T16:20:49.641000Z,2024-09-26T16:19:00.873228Z,588.0,C1BTHULB,1562,White,Graduate degree (MA/MSc/MPhil/other),28,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
66f5872e016c22d8421a8e8c,6659ef479b424681dc3f60ba,APPROVED,Not Applicable,2024-09-26T16:09:24.390000Z,2024-09-26T16:22:58.297000Z,2024-09-26T16:22:59.175000Z,2024-09-26T16:22:59.071946Z,814.0,C1BTHULB,31,White,High school diploma/A-levels,30,Female,White,United States,United States,United States,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
66f587597ba57a40551bcc16,664c96f5fdfc411c8d0cd939,APPROVED,Not Applicable,2024-09-26T16:10:11.194000Z,2024-09-26T16:15:25.670000Z,2024-09-26T16:18:08.639000Z,2024-09-26T16:17:43.125029Z,315.0,C1BTHULB,123,White,Technical/community college,33,Female,White,United States,United States,United States,English,No,Part-Time
66f5876a58e1da34ae290cb2,58c518d7b101a70001293900,APPROVED,Not Applicable,2024-09-26T16:10:18.175000Z,2024-09-26T16:14:51.803000Z,2024-10-09T19:16:56.336000Z,2024-09-26T16:17:25.620386Z,274.0,C1BTHULB,3373,Mixed,Undergraduate degree (BA/BSc/other),40,Male,Mixed,United States,United States,United States,English,No,Full-Time
66f5878e298d2a6221a82929,60fdef558b926ecb4de631cf,APPROVED,Not Applicable,2024-09-26T16:10:59.508000Z,2024-09-26T16:19:20.983000Z,2024-09-26T16:20:51.253000Z,2024-09-26T16:19:21.644508Z,502.0,C1BTHULB,1201,White,Technical/community college,29,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
66f587a80132ed7008caf574,611feee3fbf3a45d9af39eeb,APPROVED,Not Applicable,2024-09-26T16:11:29.977000Z,2024-09-26T16:24:05.472000Z,2024-09-26T16:24:09.024000Z,2024-09-26T16:24:06.411013Z,756.0,C1BTHULB,3319,Black/African American,Graduate degree (MA/MSc/MPhil/other),31,Male,Black,United States,United States,United States,English,No,Full-Time
66f587b920dc368058be087c,5d654282986878001c2a5db7,APPROVED,Not Applicable,2024-09-26T16:11:43.831000Z,2024-09-26T16:14:37.447000Z,2024-10-09T19:16:59.036000Z,2024-09-26T16:17:15.387382Z,174.0,C1BTHULB,6276,Mixed,Graduate degree (MA/MSc/MPhil/other),41,Female,White,United States,United States,United States,English,No,Full-Time
66f587d0ce2e07884e0268d5,663b842b57dff9e199c928db,APPROVED,Not Applicable,2024-09-26T16:12:07.724000Z,2024-09-26T16:20:35.123000Z,2024-09-26T16:20:58.490000Z,2024-09-26T16:20:36.017794Z,508.0,C1BTHULB,352,White,Technical/community college,29,Female,White,United States,United States,United States,English,No,Full-Time
66f587d240fd7600de148e3e,65cb7abb2785ea70576a8347,APPROVED,Not Applicable,2024-09-26T16:12:06.724000Z,2024-09-26T16:27:15.723000Z,2024-09-26T16:29:46.188000Z,2024-09-26T16:29:52.368326Z,909.0,C1BTHULB,1702,East Asian,High school diploma/A-levels,27,Female,Asian,China,United States,United States,English,No,Full-Time
66f587f12d73300b11dff48a,665b223263a2144efc395bea,APPROVED,Not Applicable,2024-09-26T16:12:39.431000Z,2024-09-26T16:29:56.478000Z,2024-09-26T16:30:40.842000Z,2024-09-26T16:31:32.670897Z,1038.0,C1BTHULB,24,White,Graduate degree (MA/MSc/MPhil/other),33,Female,White,United States,United States,United States,English,Yes,Full-Time
66f588601898bb97116a38e3,631f6e0b69d34cd131d923f8,APPROVED,Not Applicable,2024-09-26T16:14:30.591000Z,2024-09-26T16:23:08.916000Z,2024-09-26T16:23:11.928000Z,2024-09-26T16:23:10.063050Z,519.0,C1BTHULB,2370,White,Technical/community college,34,Male,White,United States,United States,United States,English,No,Full-Time
