Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Ethnicity,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
67b8c044545e8815ee691fda,67acab4438884c095874c5a8,APPROVED,Not Applicable,2025-02-21T18:04:57.952000Z,2025-02-21T18:22:01.998000Z,2025-02-21T18:22:03.575000Z,2025-02-21T18:22:02.761833Z,1025.0,C1BTHULB,5,White,High school diploma/A-levels,25,Female,White,United States,United States,United States,English,No,Part-Time
67b8c12129cb112af5f8d53b,657b13119af722654ad05679,APPROVED,Not Applicable,2025-02-21T18:09:42.238000Z,2025-02-21T18:30:11.973000Z,2025-02-21T18:30:15.571000Z,2025-02-21T18:30:12.864763Z,1230.0,C1BTHULB,845,South East Asian,Undergraduate degree (BA/BSc/other),26,Female,Asian,United States,United States,United States,Vietnamese,No,Unemployed (and job seeking)
67b8c1429cfe02d192b1ab43,607e0606cdc6ca6d24343932,APPROVED,Not Applicable,2025-02-21T18:09:17.281000Z,2025-02-21T18:29:06.430000Z,2025-02-21T18:29:08.370000Z,2025-02-21T18:29:07.150631Z,1190.0,C1BTHULB,419,White,Undergraduate degree (BA/BSc/other),21,Female,White,United States,United States,United States,English,Yes,Part-Time
67b8c174d00fdc54dae74001,65d8795ce590801cad7297be,APPROVED,Not Applicable,2025-02-21T18:10:00.663000Z,2025-02-21T18:21:29.114000Z,2025-02-21T20:56:30.476000Z,2025-02-21T18:21:30.081972Z,689.0,NOCODE,469,White,Undergraduate degree (BA/BSc/other),64,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
67b8c22f0720adddb0b8377b,663f24ed23e0359c4d0ba28b,APPROVED,Not Applicable,2025-02-21T18:13:21.194000Z,2025-02-21T18:27:33.273000Z,2025-02-21T18:27:34.290000Z,2025-02-21T18:27:35.857393Z,853.0,C1BTHULB,244,Latino/Hispanic,High school diploma/A-levels,22,Male,Other,United States,United States,United States,Spanish,DATA_EXPIRED,DATA_EXPIRED
67b8c23a39d2e6a516c6ef67,5a7e2829000dab00018c6081,APPROVED,Not Applicable,2025-02-21T18:13:20.378000Z,2025-02-21T18:25:36.348000Z,2025-02-21T18:25:37.148000Z,2025-02-21T18:25:37.066465Z,736.0,C1BTHULB,619,White,Technical/community college,34,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
67b8c23f0e53ffb7756ae8b8,647652cb5644044df439e1fb,APPROVED,Not Applicable,2025-02-21T18:13:28.318000Z,2025-02-21T18:30:13.558000Z,2025-02-21T18:30:19.198000Z,2025-02-21T18:30:14.094263Z,1006.0,C1BTHULB,2850,White,Undergraduate degree (BA/BSc/other),37,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
67b8c26878b5465086a1caaa,5fc1e71eff237c1f8708ef5a,APPROVED,Not Applicable,2025-02-21T18:14:05.116000Z,2025-02-21T18:27:33.925000Z,2025-02-21T18:27:34.799000Z,2025-02-21T18:27:36.942645Z,809.0,C1BTHULB,5257,White,Undergraduate degree (BA/BSc/other),28,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED
67b8c27f6751fdc8f62fd9a2,673d25851173193daa4771ca,APPROVED,Not Applicable,2025-02-21T18:14:28.896000Z,2025-02-21T18:28:19.019000Z,2025-02-21T18:28:21.524000Z,2025-02-21T18:28:19.682957Z,831.0,C1BTHULB,287,White,High school diploma/A-levels,30,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
67b8c2882404da2e6f3d07a2,5d474d1fab2d280015bb0110,APPROVED,Not Applicable,2025-02-21T18:14:32.060000Z,2025-02-21T18:23:09.390000Z,2025-02-21T18:23:10.252000Z,2025-02-21T18:23:12.206821Z,518.0,C1BTHULB,2712,East Asian,Graduate degree (MA/MSc/MPhil/other),36,Male,Asian,Vietnam,United States,United States,Chinese,DATA_EXPIRED,DATA_EXPIRED
67b8c28946b98f567fc0d5d7,673cff9ac211051fd40a2c36,APPROVED,Not Applicable,2025-02-21T18:14:39.652000Z,2025-02-21T18:31:03.144000Z,2025-02-21T18:31:03.917000Z,2025-02-21T18:31:03.822821Z,984.0,C1BTHULB,298,Rather not say,Undergraduate degree (BA/BSc/other),27,Male,Other,United States,United States,United States,English,No,Full-Time
67b8c28e228928a1dc7a03fa,6716f4eb2129b8fac0ca5df9,APPROVED,Not Applicable,2025-02-21T18:14:43.300000Z,2025-02-21T18:25:14.888000Z,2025-02-21T18:25:16.301000Z,2025-02-21T18:25:15.489059Z,632.0,C1BTHULB,202,White,Undergraduate degree (BA/BSc/other),24,Female,White,United States,United States,United States,English,Yes,DATA_EXPIRED
67b8c2a37d13fef1f91a8663,65d8e72260facc4cfd7be141,APPROVED,Not Applicable,2025-02-21T18:15:05.838000Z,2025-02-21T18:39:58.370000Z,2025-02-21T18:40:00.214000Z,2025-02-21T18:39:59.125002Z,1493.0,C1BTHULB,310,South East Asian,Undergraduate degree (BA/BSc/other),25,Female,Asian,United States,United States,United States,English,No,Full-Time
67b8c2b41f9f3be9dee85199,60493e65aba91587246602a2,APPROVED,Not Applicable,2025-02-21T18:17:49.962000Z,2025-02-21T18:24:28.632000Z,2025-02-21T18:24:29.512000Z,2025-02-21T18:24:32.427856Z,399.0,C1BTHULB,2830,Latino/Hispanic,Undergraduate degree (BA/BSc/other),71,Male,White,United States,United States,United States,Spanish,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
67b8c2bf9c662c8622ccbace,66c13ab381431123d64a681f,APPROVED,Not Applicable,2025-02-21T18:15:41.380000Z,2025-02-21T18:24:38.160000Z,2025-02-21T18:24:38.954000Z,2025-02-21T18:24:42.854107Z,537.0,C1BTHULB,599,White,High school diploma/A-levels,44,Female,White,United States,United States,United States,English,DATA_EXPIRED,Unemployed (and job seeking)
67b8c2c2480bf367e39fbf6b,671acb9f5ff5180a6a5dceb3,APPROVED,Not Applicable,2025-02-21T18:15:34.940000Z,2025-02-21T18:29:22.129000Z,2025-02-21T18:29:23.034000Z,2025-02-21T18:29:23.627660Z,828.0,C1BTHULB,53,East Asian,High school diploma/A-levels,35,Male,Asian,United States,United States,United States,English,No,Other
