ID,#
5b9eddfed259900001106b05,2
66660a053b08e2a34f9b945c,2.0
67628f90c6e5e88e4bc23cfc,2
5f8f54c1450c2d1b5984c34f,2
65e9c96c5c619ee0d04d3508,0
5a7920bb5292b8000122899e,1.96
65b29244459729780361bfbc,2.0
6711ad38bd46729f0fe8c1b2,1.6
6630e55b3b999569b5a36635,0
6717c51227a6e153e6871be2,0
5ec44da606cb7931f04a35e9,0
610aad45c4b4a0723399e73b,2.0
6791337a984fa58bf2ff4119,0
67106a7b8daf2fe26964584a,2.0
67841d3d8010c06da109093b,0
66fd835228aebc29f41c47ca,1.96
5d45c2d1da9cb60015aa4312,2
631b32b0796f2941b55e7d58,0
60a2a8570a0f9cc00d6b9d1a,0
6679a4fceb90622d2070dfd7,2.0
673566ac1d2a6e206d51d7a9,0
5fa0adf677c87511c18c2475,2.0
678d504e948df9ca4553cf36,1.98
6427402d1463cb72eca94b3e,0
664ce0e5ae712ea0be372f76,2
5d20189bb34728001a230962,2.0
672e70f58954e501e96e73d5,1.86
5ec5925cb3d6035afea34d20,2
66a9979ad8c56c6f29446781,2.0
67506b7a6aadbfb56b28bc43,2.0
6320e0bc9b0649f05c5bb242,2.0
651ed09bae5c435e44627f99,2
67342f08f661cea4a99e62e0,2.0
6761973ee6070e2ddaf4da28,2
5a6e5b8a0384310001948ab4,0
568e7144e3ef9e000da20149,2
5febd397ad8fbad21bcd6182,2.0
5eeab6c160ae2d1dcb69e7de,1.96
63e52250d3c1483ed7be8ed8,0
6791337a984fa58bf2ff4119,0
641319b8fbec2db7b9736f35,2
678ec19f9693124570e3a39d,2
671bdf1f387885333e5f10a2,3
5f13ea38e764c61a82f38588,2
674c8ba24e7fea1e1cad9244,0
66790e08c1c5767636feee8d,2
675b1da4018ac0d278aaa52c,0
6658e6846712e30718aaada6,2
628d14b52b5bd1d83ed1f7d2,0
66a3f9e04ef0793e01b941d7,2
6620a09b51dd0cf06035b3b1,2.0
678e69996debb07354f037ed,0
6791337a984fa58bf2ff4119,2
676eb73af96a0d7856604762,1.6
5d0bd1f57b7e3c0019a69350,0
66a56853eae42f430895b05e,2
6745b881b13cf034c491e1d2,0
62e750fa810b090c094dc2f0,1.96
673e249d764205ff4fdc5af1,2.0
678beb4407fe6ae23186cd25,0
6697d66e84c2d16dd3451b8a,0
66803fde87ae0ddcf6378d28,2.0
62fb84322433c8d7e890a145,0
61080eaae202b0ef135056a5,0
5c65b3d45416680001bed9fa,0
67489ac0f4d8c6b4bb65132a,1.6
6730202dcb4ba16a3665fd44,1.84
640e4ddaf9f67c6c8ea4936b,0
6768c93ee44f7da6a168e863,0
603470186bba1c26a354c27e,1.98
6753d465d75dd7351fe9970e,2
665f267c82361fbb9f0bc2d9,2.0
664a8a478bcc9925b4c045e2,2
6683b31d16dd162d502a8b00,2
5fd9ad6dab00c64c8a45c9fc,2.0
601636f7e8edb47a4e205797,2.0
678d41dd6f2e1cb054ca7565,10
6773e26dd7f566a722047029,2.0
6790236904d0cf418a66bf97,2
66547ab3809c04cb72f4eedf,2
672aa37c77f534a8fd5882f6,0
66426e6d71cc0a1b1cd09097,2
66cb78cfb80b0b64d242b0b2,6
65dfa0eb8559652ab54e2cbe,2
60d8b2566935da51a82c650d,1.6
61086ffb7892b26a35514292,0
66fee0f1aae19e07dc9d2bf3,0
61086ffb7892b26a35514292,0
5e55d9d5bcdb1e5f55cca145,2.0
6743ab932df5504fb810d1cd,0
5f49f3262a3d07563d14a7f1,1.98
62bdd58c792242d931ee4271,2.0
667c3d0d0928dfca0dc67e27,2
6476aa4940468b5c3eec6e63,1.96
674f186242c25acd6ad52179,0
5fdee4d96a36576ca62e4518,2.0
66757ab35abe49eff548c364,2
62711f73b2dbf1f1867a703c,2.0
63e52250d3c1483ed7be8ed8,0
5e654640e35c882c5f4f4fc2,0
6786011258783b1102093712,0
668ac4c1b3549e7f656154d4,2.0
66c15f26eb466531b1680061,0
63ea5b93d1c6d38e1f57dcfa,2
677d8cf86ffe47737cb9f8b3,1.98
663aba8df8839918efccb2cb,2
5d153b1f40218700189a05df,2
5e46145a76a07c101affe1e8,1.94
6665c6897fb2353775936967,2
65f357c5a622d1c759309691,2.0
66a653ded4b23649d48e2cd8,2
668972185d486bf277cfaca4,2.0
66f81baba81e514e4cb5ff3c,2
672ca130c5f43c5ed7d5d4b8,0
67570758821b22b4d92a9dea,0
66a252056819ec081dcb1a2e,1.96
65e00891e4c0c8cad9c1583a,1.2
669096537df4a5e8ad991b9f,2
6616c74455c86e370879cd00,2.0
669d8f03a8742ea4d11b35d8,1.84
5d9c67b131544d00101daef1,0
579f1d3bc9abeb0001af52d8,2.0
67534c2438ce40934860b983,1.6
641420858e37d13196283812,0
66ec879778bf72c70fc9bfba,2
672658dbfc7d27cee21d040c,0
66e629463e14ee75bdeb8c0d,2.0
6785c221277790fd8eae68c9,0
672e5d74e5555c2f2e8f521a,2
6699b7e8a3fa22647d9ea5c3,1.96
6786964da815926193edcaff,0
659af0d41796191df48305b0,1.94
6236fe0ee063333a3e1ba72a,0
671d33692f7f87f936ad440c,0
5db9a46ff8e3f9000f88cb85,2.0
66a2f422847b3fd2e5c5f473,8
602aaba2c2eb7c106100e516,2
5eb5f6d5e38e9f4e6c8dde3f,2
5e64a02eb7d70b20f250b129,0
664fadc444dc1b020df32c78,2.0
67817d6ae31ff11e01454731,0
5df2ebac820526203e557d37,0
61075a765969d97b256603b7,1.98
60fe78024bb07d7a327ec085,8
674382c7325a6cb19d897ca4,2
661045b87d3e3a9bda51b367,0
677c3d638b3b40fc2c99292e,2
6400d8fbeba2f9f8eb604b9a,2
67508cc64d6168582f18c11a,1.8
6785cdc31fd7b7e0d5d91209,2
663bae5f46106508ead1cc5d,2
604b9e6373c491acd8aec923,2.0
66cd09a1e2fb3850eaf08fd8,0
5c376ea0eecc440001c58889,3
6789724c92e45d4199194b86,7
66293961acba874ac45391e2,2
6308dca0fefa374b1d697aba,2
5dd350af4a113a36288b663a,2.0
65c10d09a62f4f913412bd71,2
